Drug,KW_stat,p_value,p_fdr,significant_fdr
DECITABINE (BRD:BRD-K79254416-001-21-8),15.453808260704818,0.00044080668688672796,0.3115966667629955,False
VER-49009 (BRD:BRD-K38548312-001-01-0),13.878129117259547,0.0009691757803746729,0.3115966667629955,False
LY2603618 (BRD:BRD-K14109347-001-03-4),13.632643348986083,0.0010957440217931214,0.3115966667629955,False
BAY-11-7085 (BRD:BRD-K48684885-001-04-2),12.86034255599472,0.0016121746807871127,0.3115966667629955,False
IDAZOXAN (BRD:BRD-A18696154-003-22-6),12.729044834307993,0.001721563452270926,0.3115966667629955,False
SCH-900776 (BRD:BRD-K75009076-001-02-1),12.120159151193633,0.002334215133576139,0.3115966667629955,False
LEVOBUNOLOL (BRD:BRD-K31812033-003-11-0),12.112358276643988,0.0023433373720851223,0.3115966667629955,False
BNC105 (BRD:BRD-K20468903-001-01-6),11.953886693017125,0.002536567863567627,0.3115966667629955,False
CARVEDILOL (BRD:BRD-A10977446-001-12-1),11.951814058956913,0.0025391979145906133,0.3115966667629955,False
BNTX (BRD:BRD-A55484088-050-02-5),11.547258297258296,0.0031084559703544214,0.3115966667629955,False
VE 821 (BRD:BRD-K26756394-001-02-2),11.525170068027204,0.0031429763872109066,0.3115966667629955,False
PP-2 (BRD:BRD-K95785537-001-23-1),11.30263157894737,0.0035128915069729356,0.3115966667629955,False
PU-H71 (BRD:BRD-K36529613-001-02-6),11.259379509379514,0.003589688838719618,0.3115966667629955,False
ADAVOSERTIB (BRD:BRD-K54256913-001-08-7),11.20310723758999,0.0036921231064262045,0.3115966667629955,False
LY2606368 (BRD:BRD-K20463415-300-01-4),11.183621933621936,0.0037282699741917084,0.3115966667629955,False
BERZOSERTIB (BRD:BRD-K04701033-001-03-9),11.171277997364953,0.003751351894814092,0.3115966667629955,False
ANISOMYCIN (BRD:BRD-K91370081-001-25-1),10.92687747035572,0.004238954013177227,0.3313864637360315,False
CGS-15943 (BRD:BRD-K49049886-001-08-7),10.44202898550725,0.005401846211884512,0.34719612876208783,False
CHROMOCARB (BRD:BRD-K94720315-001-10-4),10.3769632257217,0.005580473704788665,0.34719612876208783,False
TENIPOSIDE (BRD:BRD-K10362825-001-04-2),10.375975748389521,0.005583229680741775,0.34719612876208783,False
